,model_pth,epoch,top1acc,top5acc,loss,val_images_blurred,val_blur_sigma
49,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch35.pth.tar,35,70.802,90.194,1.1734,0,0
50,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch36.pth.tar,36,71.29,90.424,1.1488,0,0
51,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch37.pth.tar,37,70.462,90.178,1.1748,0,0
52,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch38.pth.tar,38,70.942,90.218,1.1661,0,0
53,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch39.pth.tar,39,70.58,90.336,1.1724,0,0
54,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch40.pth.tar,40,70.05,90.102,1.1934,0,0
55,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch41.pth.tar,41,71.092,90.468,1.16,0,0
56,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch42.pth.tar,42,70.896,90.356,1.1644,0,0
57,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch43.pth.tar,43,69.992,89.742,1.1994,0,0
58,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch44.pth.tar,44,70.278,90.022,1.1855,0,0
59,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch45.pth.tar,45,70.494,90.056,1.1867,0,0
60,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch46.pth.tar,46,70.414,90.062,1.1864,0,0
61,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch47.pth.tar,47,70.238,90.068,1.1876,0,0
62,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch48.pth.tar,48,69.412,89.47,1.2306,0,0
63,/data/blurry_vision_sup_RN50/supervised_resnet50_gauss_0_1e/outmodel/checkpoint_supervised_resnet50_gauss_0_1e_epoch49.pth.tar,49,70.104,90.01,1.1873,0,0
